gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,champ1,champ2,champ3,champ4,champ5
TRTW/70033,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70033?gameHash=ca6da3c023b391ea,LMS,2015,Spring,0,2015-01-08 13:03:37,1,4.21,100,Blue,team,,,Taipei Assassins,oe:team:cda8735d6cec0a3e7a2676682d66953,,32.0,158.0,56.0,,,2756,1,26,21,70,26,21,3,0,0,0,0,,,,0.566,1.0232,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1.0,2.0,0.0,0.0,10.0,7.0,0.0,0.0,,,2,1,116035,2526.1611,,3232.4238,0.0,117,2.5472,41,0.8926,22,0,0.0,82192,54490,1186.2845,,74990,0.088567,,1023,152,139,13,25.5806,13145,16376,259,13348,16167,210,-203,209,49,1,1,3,3,6,1,20795,26177,410,20463,25438,347,332,739,63,4,6,5,5,11,4,36,100,65,131,130
TRTW/70033,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70033?gameHash=ca6da3c023b391ea,LMS,2015,Spring,0,2015-01-08 13:03:37,1,4.21,200,Red,team,,,ahq eSports Club,oe:team:d15303823a1dccff9f3068fb357e356,,69.0,46.0,124.0,,,2756,0,21,26,51,21,26,1,1,0,0,1,,,,0.4572,1.0232,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,2.0,1.0,7.0,10.0,1.0,1.0,,,1,2,109563,2385.2612,,2951.7997,0.0,139,3.0261,32,0.6967,18,0,0.0,71762,44060,959.2163,,68630,-0.088567,,903,160,148,12,23.1422,13348,16167,210,13145,16376,259,203,-209,-49,3,6,1,1,1,3,20463,25438,347,20795,26177,410,-332,-739,-63,5,11,4,4,6,5,75,66,79,118,45
TRKR1/450067,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/450067?gameHash=38c86e983eebab73,OGN,2015,Spring,0,2015-01-09 08:10:11,1,4.21,100,Blue,team,,,ROX Tigers,oe:team:93c730021ff69abdfccc4911a2f666f,,11.0,69.0,45.0,,,2561,1,26,10,65,26,10,4,3,1,0,0,,,,0.6091,0.8434,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,1.0,1.0,1.0,11.0,4.0,0.0,0.0,,,2,0,96946,2271.2847,,2645.3885,0.0,125,2.9285,54,1.2651,32,0,0.0,75740,49891,1168.8637,,67343,0.134688,,974,141,121,20,26.1226,13077,16393,280,13815,17034,251,-738,-641,29,0,0,2,2,3,0,19834,26948,441,20216,25771,415,-382,1177,26,1,1,2,2,3,1,106,93,56,21,130
TRKR1/450067,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/450067?gameHash=38c86e983eebab73,OGN,2015,Spring,0,2015-01-09 08:10:11,1,4.21,200,Red,team,,,Incredible Miracle,oe:team:d4553ea5020d1c35901ff030e2b4922,,36.0,46.0,66.0,,,2561,0,10,26,22,10,26,0,0,0,0,1,,,,0.2343,0.8434,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,1.0,0.0,4.0,11.0,1.0,1.0,,,0,2,79427,1860.8434,,2809.1292,0.0,142,3.3268,38,0.8903,26,0,0.0,61947,36098,845.7165,,58845,-0.134688,,976,126,116,10,25.818,13815,17034,251,13077,16393,280,738,641,-29,2,3,0,0,0,2,20216,25771,415,19834,26948,441,382,-1177,-26,2,3,1,1,1,2,48,27,151,118,67
TRKR1/450068,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/450068?gameHash=a2f81fdba698461f,OGN,2015,Spring,0,2015-01-09 09:06:20,2,4.21,200,Red,team,,,ROX Tigers,oe:team:93c730021ff69abdfccc4911a2f666f,,104.0,65.0,27.0,,,2331,1,19,12,47,19,12,3,2,0,0,0,,,,0.4891,0.7722,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,0.0,1.0,8.0,2.0,1.0,1.0,,,1,0,59912,1542.1364,,2302.5997,0.0,105,2.7027,57,1.4672,23,0,0.0,69539,45875,1180.8237,,60888,0.120499,,1035,135,127,8,30.1158,13417,17791,277,13515,17700,270,-98,91,7,0,0,1,1,2,0,20794,27810,435,20628,27548,423,166,262,12,2,3,3,3,7,2,36,93,69,64,82
TRKR1/450068,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/450068?gameHash=a2f81fdba698461f,OGN,2015,Spring,0,2015-01-09 09:06:20,2,4.21,100,Blue,team,,,Incredible Miracle,oe:team:d4553ea5020d1c35901ff030e2b4922,,56.0,46.0,45.0,,,2331,0,11,19,32,11,19,0,0,0,0,1,,,,0.2831,0.7722,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,,,0,1,57248,1473.565,,2197.0399,0.0,113,2.9086,41,1.0553,20,0,0.0,55602,31938,822.0849,,53968,-0.120499,,883,139,128,11,26.3063,13515,17700,270,13417,17791,277,98,-91,-7,1,2,0,0,0,1,20628,27548,423,20794,27810,435,-166,-262,-12,3,7,2,2,3,3,106,66,124,21,130
TRKR1/440053,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/440053?gameHash=8ff6257949b46280,OGN,2015,Spring,0,2015-01-09 10:44:16,1,4.21,200,Red,team,,,Jin Air Green Wings,oe:team:5e29baf115bdaaeeb3bafa7f288b298,,45.0,66.0,36.0,,,2697,1,25,11,73,25,11,4,0,0,0,0,,,,0.5562,0.8009,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,0.0,0.0,10.0,3.0,0.0,1.0,,,2,0,91568,2037.1079,,2547.8309,0.0,128,2.8476,47,1.0456,27,0,0.0,81051,53910,1199.3326,,75239,0.262385,,1061,168,148,20,27.3415,13178,16968,261,13707,17627,283,-529,-659,-22,0,0,1,1,2,0,20866,28299,435,20277,27625,440,589,674,-5,2,4,2,2,3,2,56,104,71,21,80
TRKR1/440053,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/440053?gameHash=8ff6257949b46280,OGN,2015,Spring,0,2015-01-09 10:44:16,1,4.21,100,Blue,team,,,Samsung Galaxy,oe:team:3b84bb916852d07609c83d1ce91c1a9,,11.0,151.0,69.0,,,2697,0,11,25,31,11,25,1,0,0,0,1,,,,0.2447,0.8009,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,1.0,1.0,3.0,10.0,1.0,0.0,,,0,2,83021,1846.9633,,2564.8498,0.0,129,2.8699,43,0.9566,20,0,0.0,60535,33394,742.9143,,57787,-0.262385,,924,140,134,6,23.6707,13707,17627,283,13178,16968,261,529,659,22,1,2,0,0,0,1,20277,27625,440,20866,28299,435,-589,-674,5,2,3,2,2,4,2,106,46,48,70,130
TRTW/70074,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70074?gameHash=91731e26420e7670,LMS,2015,Spring,0,2015-01-09 11:01:26,1,4.21,200,Red,team,,,DarlingYou,oe:team:477741307b39a84804e727af56a48ce,,56.0,65.0,124.0,,,2365,1,17,16,34,17,16,3,1,1,1,1,,,,0.4313,0.8372,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,0.0,0.0,8.0,5.0,1.0,0.0,,,1,0,63541,1612.0338,,2184.6089,0.0,107,2.7146,49,1.2431,16,0,0.0,67229,43242,1097.0486,,59530,0.104277,,1003,147,142,5,29.1755,13676,18057,273,13095,16645,244,581,1412,29,1,1,1,1,2,1,20205,27441,439,21303,28226,405,-1098,-785,34,1,1,5,5,7,1,11,66,32,38,130
TRTW/70074,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70074?gameHash=91731e26420e7670,LMS,2015,Spring,0,2015-01-09 11:01:26,1,4.21,100,Blue,team,,,Logitech G Snipers,oe:team:451c3e722d7502dddcb89644aaa9fa8,,33.0,19.0,158.0,,,2365,0,16,18,37,16,18,2,0,0,0,0,,,,0.4059,0.8372,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,1.0,1.0,5.0,8.0,0.0,1.0,,,0,1,60390,1532.093,,2332.9218,0.0,113,2.8668,31,0.7865,25,0,0.0,58451,34464,874.351,,53630,-0.104277,,852,136,126,10,25.0655,13095,16645,244,13676,18057,273,-581,-1412,-29,1,2,1,1,1,1,21303,28226,405,20205,27441,439,1098,785,-34,5,7,1,1,1,5,103,46,1,118,45
